index,name,sex
0,Linda,F
1,Mary,F
2,Patricia,F
3,Barbara,F
4,Susan,F
5,Nancy,F
6,Deborah,F
7,Sandra,F
8,Carol,F
9,Kathleen,F
10,Sharon,F
11,Karen,F
12,Donna,F
13,Brenda,F
14,Margaret,F
15,Diane,F
16,Pamela,F
17,Janet,F
18,Shirley,F
19,Carolyn,F
20,Judith,F
21,Janice,F
22,Cynthia,F
23,Elizabeth,F
24,Judy,F
25,Betty,F
26,Joyce,F
27,Christine,F
28,Cheryl,F
29,Gloria,F
30,Beverly,F
31,Martha,F
32,Bonnie,F
33,Catherine,F
34,Dorothy,F
35,Rebecca,F
36,Marilyn,F
37,Kathy,F
38,Jane,F
39,Joan,F
40,Peggy,F
41,Gail,F
42,Virginia,F
43,Connie,F
44,Ann,F
45,Kathryn,F
46,Diana,F
47,Jean,F
48,Ruth,F
49,Helen,F
50,Frances,F
51,Wanda,F
52,Phyllis,F
53,Paula,F
54,Jacqueline,F
55,Rita,F
56,Alice,F
57,Katherine,F
58,Debra,F
59,Elaine,F
60,Vicki,F
61,Sherry,F
62,Laura,F
63,Jo,F
64,Theresa,F
65,Ellen,F
66,Joanne,F
67,Marsha,F
68,Rose,F
69,Sheila,F
70,Suzanne,F
71,Marie,F
72,Maria,F
73,Doris,F
74,Cathy,F
75,Lynn,F
76,Marcia,F
77,Sally,F
78,Darlene,F
79,Charlotte,F
80,Teresa,F
81,Denise,F
82,Lois,F
83,Anne,F
84,Constance,F
85,Evelyn,F
86,Glenda,F
87,Sarah,F
88,Maureen,F
89,Dianne,F
90,Eileen,F
91,Irene,F
92,Anna,F
93,Victoria,F
94,Jeanne,F
95,Roberta,F
96,Sylvia,F
97,Joann,F
98,Anita,F
99,Sue,F
100,Rosemary,F
101,Charlene,F
102,Geraldine,F
103,Norma,F
104,Lorraine,F
105,Annie,F
106,Lynda,F
107,Vickie,F
108,Louise,F
109,Yvonne,F
110,Julie,F
111,Marlene,F
112,Gwendolyn,F
113,Wendy,F
114,Valerie,F
115,Juanita,F
116,Patsy,F
117,Jennifer,F
118,Julia,F
119,Loretta,F
120,Marjorie,F
121,Stephanie,F
122,Kay,F
123,Colleen,F
124,Rhonda,F
125,Claudia,F
126,Terry,F
127,Michele,F
128,Delores,F
129,Ruby,F
130,Jeanette,F
131,Arlene,F
132,Gayle,F
133,Leslie,F
134,Mildred,F
135,Janis,F
136,June,F
137,Vivian,F
138,Dolores,F
139,Carole,F
140,Jill,F
141,Andrea,F
142,Regina,F
143,Annette,F
144,Sheryl,F
145,Josephine,F
146,Sara,F
147,Angela,F
148,Robin,F
149,Edith,F
150,Paulette,F
151,Lynne,F
152,Georgia,F
153,Emma,F
154,Rosa,F
155,Lillian,F
156,Edna,F
157,Audrey,F
158,Joy,F
159,Carla,F
160,Penny,F
161,Esther,F
162,Pauline,F
163,Janie,F
164,Christina,F
165,Jacquelyn,F
166,Jan,F
167,Renee,F
168,Priscilla,F
169,Shelley,F
170,Wilma,F
171,Candace,F
172,Belinda,F
173,Michelle,F
174,Eva,F
175,Ethel,F
176,Beth,F
177,Clara,F
178,Yolanda,F
179,Lucille,F
180,Bonita,F
181,Gladys,F
182,Grace,F
183,Margie,F
184,Cindy,F
185,Carmen,F
186,Thelma,F
187,Dianna,F
188,Rachel,F
189,Florence,F
190,Dawn,F
191,Marianne,F
192,Bertha,F
193,Laurie,F
194,Bobbie,F
195,Marion,F
196,Veronica,F
197,Ella,F
198,Eleanor,F
199,Maryann,F
200,Willie,F
201,Lillie,F
202,Emily,F
203,Billie,F
204,Lana,F
